rank,label_file,image_id,total_tooth_count,n_duplicate_codes,duplicate_codes,n_missing_codes,missing_codes,n_position_violations,n_wrong_quadrant_both_axes,likely_global_framing,position_violation_detail,anomaly_score,primary_reason,reason_breakdown
77,cate8-00267_jpg.rf.82d6cf3a584b087ccf57a350888c18d2.txt,cate8-00267,29,0,-,3,"18, 36, 46",2,0,False,"48: expected image-lower (y>=0.45), got y=0.448; 38: expected image-lower (y>=0.45), got y=0.441",4.15,single_axis_position,"single_axis_position(+4.0), missing_codes(+0.15)"
78,cate10-00005_jpg.rf.df645c31544aeaa5ad78449bd32704f4.txt,cate10-00005,31,0,-,1,26,2,0,False,"41: expected image-left (x<=0.55), got x=0.556; 11: expected image-left (x<=0.55), got x=0.553",4.05,single_axis_position,"single_axis_position(+4.0), missing_codes(+0.05)"
79,cate2-00128_jpg.rf.8e8a009cf46ff4b255917c578fa580c1.txt,cate2-00128,32,0,-,0,-,2,0,False,"48: expected image-lower (y>=0.45), got y=0.441; 38: expected image-lower (y>=0.45), got y=0.416",4.0,single_axis_position,single_axis_position(+4.0)
80,cate4-00069_jpg.rf.9a68aa63aaa70d4ff10ea98c8912b381.txt,cate4-00069,32,0,-,0,-,2,0,False,"11: expected image-left (x<=0.55), got x=0.554; 41: expected image-left (x<=0.55), got x=0.554",4.0,single_axis_position,single_axis_position(+4.0)
81,cate4-00079_jpg.rf.0ff0ad044792e5955a6152a63eee69da.txt,cate4-00079,32,0,-,0,-,2,0,False,"38: expected image-lower (y>=0.45), got y=0.418; 48: expected image-lower (y>=0.45), got y=0.421",4.0,single_axis_position,single_axis_position(+4.0)
82,cate1-00017_jpg.rf.3dd93f8441ac070e8ba7f26ffeae1c7a.txt,cate1-00017,32,0,-,0,-,2,0,False,"11: expected image-left (x<=0.55), got x=0.559; 41: expected image-left (x<=0.55), got x=0.575",4.0,single_axis_position,single_axis_position(+4.0)
83,cate10-00085_jpg.rf.50e35c3788c415e0216fc9c2dcafe6e9.txt,cate10-00085,8,0,-,24,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 35, 36, 37, 38, 45, 46, 47, 48",1,0,False,"41: expected image-left (x<=0.55), got x=0.554",3.2,single_axis_position,"single_axis_position(+2.0), missing_codes(+1.20)"
84,cate6-00093_jpg.rf.e5dbf92d7544f732b39244cbe31dbd5c.txt,cate6-00093,29,1,23x2,4,"33, 34, 43, 44",0,0,False,-,3.2,duplicate_codes,"duplicate_codes(+3.0), missing_codes(+0.20)"
85,cate6-00093_jpg.rf.7ee6d6ffc4ba11e6e96146f65800cb82.txt,cate6-00093,29,1,23x2,4,"33, 34, 43, 44",0,0,False,-,3.2,duplicate_codes,"duplicate_codes(+3.0), missing_codes(+0.20)"
86,cate8-00293_jpg.rf.c80037e6c49b66b68dbe56767f4efe55.txt,cate8-00293,31,1,26x2,2,"36, 46",0,0,False,-,3.1,duplicate_codes,"duplicate_codes(+3.0), missing_codes(+0.10)"
87,cate8-00293_jpg.rf.45f247a184489270e6b48128a12ed13a.txt,cate8-00293,31,1,26x2,2,"36, 46",0,0,False,-,3.1,duplicate_codes,"duplicate_codes(+3.0), missing_codes(+0.10)"
